ID,SPECIES,hw,hl,ml,el1,el2,wl
CASENT0105553,Formica incerta,1.374,1.622,0.809,0.47,0.444,2.613
CASENT0172881,Formica incerta,1.204,1.474,0.655,0.426,0.446,2.43
CASENT0172884,Formica incerta,1.573,1.816,0.773,0.489,0.503,2.873
CASENT0280344,Formica incerta,1.481,1.747,0.829,0.504,0.492,2.971
CASENT0280346,Formica incerta,1.552,1.732,0.826,0.52,0.469,2.765
ANTWEB1041665,Formica integra,1.577,1.704,0.826,0.478,0.493,2.533
ANTWEB1041666,Formica integra,1.765,1.878,0.948,0.513,0.504,2.668
CASENT0105554,Formica integra,1.993,2.2,0.957,0.546,0.483,2.678
CASENT0280396,Formica integra,1.66,1.758,0.824,0.466,0.488,2.475
CASENT0005371,Formica neorufibarbiis,1.231,1.393,0.61,0.436,0.444,1.963
CASENT0102152,Formica neorufibarbiis,1.154,1.297,0.575,0.412,0.377,1.708
CASENT0103329,Formica neorufibarbiis,1.195,1.323,0.56,0.424,0.434,1.983
CASENT0103330,Formica neorufibarbiis,1.413,1.49,0.586,0.478,0.454,2.064
CASENT0280366,Formica neorufibarbiis,1.399,1.475,0.648,0.485,0.416,1.973
CASENT0104769,Formica obscuriventris,1.993,2.102,0.924,0.511,0.556,3.122
CASENT0179609,Formica obscuriventris,1.592,1.678,0.75,0.438,0.445,2.24
CASENT0633325,Formica obscuriventris,1.882,1.967,0.911,0.52,0.526,2.803
CASENT0911083,Formica obscuriventris,1.759,1.823,0.851,0.472,0.44,2.439
FMNHINS0000062712,Formica obscuriventris,1.606,1.647,0.871,0.477,0.473,2.478
CASENT0172724,Lasius alienus,0.829,0.893,0.412,0.221,,1.065
CASENT0179927,Lasius alienus,0.743,0.801,0.387,0.223,0.204,0.951
CFH000015,Lasius alienus,0.878,0.986,0.406,0.253,0.324,1.468
CFH000018,Lasius alienus,1.681,1.76,0.819,0.466,0.305,1.603
FOCOL0754,Lasius alienus,0.751,0.815,0.402,0.216,0.206,1.035
CASENT0005409,Lasius aphidicola,0.974,1.024,0.496,0.161,0.16,1.206
CASENT0103993,Lasius aphidicola,0.959,1.002,0.489,0.17,0.17,1.153
CASENT0280468,Lasius aphidicola,0.919,0.956,0.465,0.164,0.179,1.238
CASENT0005406,Lasius brevicornis,0.821,0.904,0.428,0.094,0.09,1.079
CASENT0102802,Lasius brevicornis,0.787,0.833,0.376,,0.105,1.002
CASENT0260130,Lasius brevicornis,0.899,0.907,0.443,0.115,0.126,1.073
CASENT0280456,Lasius brevicornis,0.766,0.808,0.394,0.091,0.094,0.999
CASENT0905678,Lasius brevicornis,0.78,0.815,0.473,0.076,,1.015
ANTWEB1041645,Lasius claviger,1.154,1.139,0.577,0.157,0.161,1.498
CASENT0103541,Lasius claviger,1.036,1.062,0.533,0.139,0.143,1.244
CASENT0103542,Lasius claviger,1.07,1.067,0.557,0.144,0.15,1.327
CASENT0280435,Lasius claviger,0.992,1.01,0.571,,0.112,1.155
CASENT0005400,Lasius murphyi,0.918,0.961,0.516,0.102,0.088,1.135
CASENT0911058,Lasius murphyi,0.919,0.942,0.545,0.119,0.131,1.259
ANTWEB1038011,Lasius pallitarsis,1.002,1.091,0.528,0.258,0.254,1.417
CASENT0005405,Lasius pallitarsis,1.136,1.155,0.571,0.263,0.293,1.38
CASENT0102805,Lasius pallitarsis,1.014,0.878,0.54,0.225,0.227,1.298
CASENT0280439,Lasius pallitarsis,1.006,1.04,0.51,0.254,0.258,1.283
CASENT0919966,Lasius pallitarsis,1.038,1.052,0.523,0.254,0.261,1.288
CASENT0103497,Lasius pubescens,0.973,1.019,0.49,,,1.137
CASENT0105576,Lasius pubescens,0.941,0.943,0.509,0.134,0.172,1.59
CASENT0903202,Lasius pubescens,1.002,1.002,0.5,0.147,,1.3
CASENT0103508,Lasius speculiventris,1.011,1.032,0.538,0.159,0.137,1.1
CASENT0105613,Lasius speculiventris,0.892,0.891,0.466,0.157,0.154,1.293
CASENT0905687,Lasius speculiventris,0.936,0.953,0.515,0.155,,
CASENT0104878,Lasius subglaber,0.872,0.928,0.502,0.112,0.094,1.043
CASENT0105546,Lasius subglaber,0.987,0.982,0.503,0.122,,
CASENT0280438,Lasius subglaber,0.983,1.029,0.526,0.14,0.132,1.187
CASENT0905688,Lasius subglaber,1.01,1.014,0.526,0.133,0.133,1.246
CASENT0905689,Lasius subglaber,0.914,0.949,0.482,0.109,,1.018
CASENT0104083,Monomorium ebeninum,0.365,0.475,0.192,0.076,0.096,0.701
