SPECIES,bins,size,Source
Dorymyrmex bureni,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex flavus,,1000,Kaspari & Valone (2002)
Dorymyrmex grandulus,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex smithi,,,
Forelius pruinosus,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica archboldi,,1210,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formica archboldi,,500,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica archboldi,,493,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica biophilica,,,
Formica dolosa,,630,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica integra,,,
Formica pallidefulva,,424,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica rubicunda,,,
Formica subintegra,slave maker,300,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Formica subsericea,,8916,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Gnamptogenys triangularis,,100,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Hypoponera inexorata,,12,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Hypoponera inexorata,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Hypoponera opaciceps,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Hypoponera opaciceps,,40,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Hypoponera opacior,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Hypoponera punctatissima,,102,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Lasius americanus,,3000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Lasius aphidicola,,,
Lasius brevicornis,,,
Lasius claviger,,,
Lasius interjectus,,,
Lasius neoniger,10 - 100,100,"Wang, Dong, et al. ""Nest structure of ant Lasius neoniger Emery and its implications to soil modification."" Geoderma 66.3-4 (1995): 259-272."
Linepithema humile,,15000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium floricola,,,
Monomorium minimum,,3000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium pharaonis,,800,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium pharaonis,,2382,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium viridum,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Myrmecina americana,,24,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Myrmecina americana,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Myrmecina cooperi,,,
Myrmica americana,,226,"Elmes, G. W., and Judith C. Wardlaw. “A Population Study of the Ants Myrmica Sabuleti and Myrmica Scabrinodis, Living at Two Sites in the South of England. I. A Comparison of Colony Populations.” Journal of Animal Ecology, vol. 51, no. 2, 1982, pp. 651–64. JSTOR, https://doi.org/10.2307/3989. Accessed 17 May 2023."
Myrmica pinetorum,,396,"Geraghty, Melissa J., R. R. Dunn, and Nathan J. Sanders. ""Body size, colony size, and range size in ants (Hymenoptera: Formicidae): are patterns along elevational and latitudinal gradients consistent with Bergmann’s rule."" Myrmecological News 10.September (2007): 51-58."
Myrmica punctiventris,,13,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Myrmica punctiventris,,86,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Myrmica punctiventris,,50,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Neivamyrmex carolinensis,,110000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Neivamyrmex carolinensis,,30000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Neivamyrmex nigrescens,,10000,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Neivamyrmex nigrescens,,30000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Neivamyrmex nigrescens,,110000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Neivamyrmex opacithorax,,30000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia arenivaga,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia bourbonica,,200,pers comm JL Williams
Nylanderia faisonensis,,268,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Nylanderia faisonensis,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia fulva,thousands,300000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Nylanderia parvula,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia phantasma,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia querna,,,
Nylanderia vividula,,200,pers comm JL Williams
Nylanderia wojciki,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Odontomachus brunneus,,72,"Cerquera, Lina M., and Walter R. Tschinkel. 2010. “The Nest Architecture of the Ant Odontomachus Brunneus.” Journal of Insect Science  10: 64."
Odontomachus brunneus,,65,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Odontomachus brunneus,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Odontomachus haematodus,,500,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Paratrechina longicornis,,2000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pheidole adrianoi,,350,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole adrianoi,,300,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole bicarinata,,200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole bilimeki,600–4000,2300,"Ivanov, Kaloyan. ""Exotic ants (Hymenoptera, Formicidae) of Ohio."" Journal of Hymenoptera Research 51 (2016): 203-226."
Pheidole crassicornis,,1000,Antweb
Pheidole dentata,,800,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole dentata,,946,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pheidole dentigula,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole lamia,,1200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole metallescens,,534,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
