Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Myrmicinae,Cardiocondyla,Cardiocondyla.venustula,worker,150,Antwiki,100-200,Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.wroughtonii,worker,50,King,,Leaf Litter,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.nuda,worker,50,King,,Leaf Litter,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cephalotes,Cephalotes.varians,major,1000,Burchill,,Arboreal,Omnivore,Native,Polymorphic,"Nocturnal, mostly scavengers"
Myrmicinae,Cephalotes,Cephalotes.varians,worker,1000,Burchill,,Arboreal,Omnivore,Native,Polymorphic,"Nocturnal, mostly scavengers"
Formicinae,Colobopsis,Colobopsis.impressa,worker,180,Deyrup,"146±76 minors, 34±15 majors",Mixed,Omnivore,Native,Polymorphic,
Formicinae,Colobopsis,Colobopsis.obliquus,worker,,,,Arboreal,Omnivore,Native,Polymorphic,little known
Formicinae,Colobopsis,Colobopsis.riehlii,worker,,,,Mixed,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Crematogaster,Crematogaster.ashmeadi,worker,3260,https://doi.org/10.1111/phen.12099,Back transformed from biomass data,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.ashmeadi,worker,10000,King,,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.atkinsoni,worker,500,King,,Arboreal,Omnivore,Native,Monomorphic,tends to aphids
Myrmicinae,Crematogaster,Crematogaster.cerasi,worker,,,hundreds according to antwiki,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.lineolata,worker,15,Doug Booher Collection,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.lineolata,worker,178,Doug Booher Collection,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.lineolata,worker,200,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.minutissima,worker,313,Doug Booher Collection,,Leaf Litter,Omnivore,Native,Monomorphic,Polygyne
Myrmicinae,Crematogaster,Crematogaster.minutissima,worker,208,Burchill,,Leaf Litter,Omnivore,Native,Monomorphic,Polygyne
Myrmicinae,Crematogaster,Crematogaster.minutissima,worker,200,King,,Leaf Litter,Omnivore,Native,Monomorphic,Polygyne
Myrmicinae,Crematogaster,Crematogaster.missouriensis,worker,,,,Ground,,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.obscurata,worker,,,,Arboreal,,Nonnative,Monomorphic,Polygyne
Myrmicinae,Crematogaster,Crematogaster.pilosa,worker,807,Loken & Oliver 2016,Average number of adults per multi-nest colony,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.pinicola,worker,40000,"Tschinkel 2002 paper, used conservative estimate but the max from this. Deyrup talks about how tschinkl's paper is likely on pinicola and not ashmeadi",,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.vermiculata,worker,,,,Arboreal,,Native,Monomorphic,
Ponerinae,Cryptopone,Cryptopone.gilva,worker,100,Antwiki,But can also be in several hundred range,Ground,Predator,Native,Monomorphic,
Myrmicinae,Cyphomyremx,Cyphomyrmex.minutus,worker,150,King,,Ground,Specialist,Native,Monomorphic,
Myrmicinae,Cyphomyremx,Cyphomyrmex.rimosus,worker,100,Burchill,,Ground,Specialist,Nonnative,Monomorphic,
Myrmicinae,Cyphomyremx,Cyphomyrmex.rimosus,worker,150,King,,Ground,Specialist,Nonnative,Monomorphic,
Proceratiinae,Discothyrea,Discothyrea.testacea,worker,15,Antwiki,10 to 20,Mixed,Predator,Native,Monomorphic,
Dolichoderinae,Dolichoderus,Dolichoderus.mariae,worker,1265000,Laskis and Tschinkel 2009,"530,000 to 2 million from two colonies monitored across years, numbers represent peak census values",Ground,Omnivore,Native,Monomorphic,Polygyne and polydomous
Dolichoderinae,Dolichoderus,Dolichoderus.pustulatus,worker,1299,Kannowski 1967,https://www.researchgate.net/publication/233643599_Colony_Populations_of_Two_Species_of_Dolichoderus_Hymenoptera_Formicidae,Mixed,Omnivore,Native,Monomorphic,Monogyne?
Dolichoderinae,Dorymyrmex,Dorymyrmex.bossutus,worker,1000,King,,Ground,Omnivore,Native,Monomorphic,
Dolichoderinae,Dorymyrmex,Dorymyrmex.bureni,worker,1000,King,,Ground,Omnivore,Native,Monomorphic,Monodomous
Dolichoderinae,Dorymyrmex,Dorymyrmex.elegans,worker,1000,King,,Ground,Omnivore,Native,Monomorphic,
Dolichoderinae,Dorymyrmex,Dorymyrmex.flavopectus,worker,,,,Ground,,Native,Monomorphic,rare
