Genus.Species,Caste,Image CASENT,Head_width,Head_length,Mandible_length,Eye length_1,Eye length_2,Weber_length
Cardiocondyla.venustula,worker,casent0119699,0.493,0.596,0.274,0.129,0.139,0.75
Cardiocondyla.venustula,worker,focol1607,0.42,0.518,0.225,0.112,0.118,0.617
Cardiocondyla.venustula,worker,casent0103747,0.4345,0.564,0.068,0.113,0.11,0.658
Cardiocondyla.wroughtonii,worker,antweb1041255,0.356,0.435,0.182,,0.111,0.578
Cardiocondyla.wroughtonii,worker,casent0060052,0.381,0.47,0.203,0.109,0.092,0.452
Cardiocondyla.wroughtonii,worker,casent0171166,0.53,0.655,0.27,0.158,0.109,0.549
Cardiocondyla.wroughtonii,worker,casent0901753,0.403,0.479,0.205,0.116,0.112,0.574
Cardiocondyla.wroughtonii,worker,casent0102969,0.341,0.426,0.049,0.095,0.093,0.4645
Cephalotes.varians,worker,casent0103755,1.17,1.094,0.164,0.238,0.237,1.173
Cephalotes.varians,worker,casent0922527,1.259,1.179,,0.245,0.266,1.3
Cephalotes.varians,worker,casent0103759,1.082,1.062,0.133,0.185,0.189,1.0545
Cephalotes.varians,major,casent0922526,1.607,1.941,0.196,,0.326,1.633
Cephalotes.varians,major,casent0103758,1.6735,2.124,0.315,0.306,0.299,1.638
Colobopsis.impressa,worker,casent0103679,0.835,0.945,0.311,0.262,0.221,1.153
Colobopsis.impressa,worker,casent0249380,0.788,0.882,0.275,0.261,0.264,1.169
Colobopsis.impressa,worker,fmnhins0000088668,0.809,0.899,0.27,0.264,0.256,1.189
Colobopsis.impressa,major,casent0249381,1.1,1.228,0.39,0.32,0.345,1.497
Colobopsis.impressa,major,fmnhins0000088681,1.041,1.122,0.389,0.321,0.313,1.376
Colobopsis.impressa,major,casent0103678,1.0695,1.086,0.0805,0.268,0.27,1.3815
Colobopsis.obliquus,major,casent0103722,1.034,1.159,0.377,0.31,0.272,1.282
Colobopsis.obliquus,major,casent0105585,1.092,1.218,0.456,0.34,0.25,1.224
Colobopsis.obliquus,worker,casent0103723,0.7405,0.874,0.067,0.228,0.23,1.058
Colobopsis.riehlii,worker,fmnhins0000088682,0.967,1.063,0.355,0.295,0.294,1.366
Colobopsis.riehlii,worker,casent0103727,0.994,1.095,0.324,0.315,0.29,1.406
Colobopsis.riehlii,worker,casent0103728,0.875,0.947,0.31,0.77,0.252,1.141
Colobopsis.riehlii,worker,casent0914449,0.792,0.861,0.271,0.247,0.248,1.2
Colobopsis.riehlii,major,casent0914448,1.166,1.305,0.44,0.333,0.332,1.477
Colobopsis.riehlii,major,casent0103726,1.155,1.178,0.322,0.316,0.359,1.7
Colobopsis.riehlii,worker,fmnhins0000088669,0.8535,0.92,0.069,0.232,0.239,1.147
Crematogaster.ashmeadi,worker,casent0103765,0.8,0.707,0.328,0.181,0.172,0.822
Crematogaster.ashmeadi,worker,casent0919694,0.846,0.745,0.353,0.186,0.191,0.907
Crematogaster.ashmeadi,worker,casent0922720,0.776,0.711,0.34,0.179,0.162,0.877
Crematogaster.ashmeadi,worker,focol1506-1,0.799,0.73,0.294,0.185,0.206,0.872
Crematogaster.ashmeadi,worker,ent00669688,0.767,0.745,0.109,0.174,0.182,0.8635
Crematogaster.atkinsoni,worker,casent0103768,0.93,0.874,0.415,0.227,0.215,1.09
Crematogaster.atkinsoni,worker,casent0901443,0.673,0.661,0.342,0.148,0.149,0.854
Crematogaster.atkinsoni,worker,casent0914490,1.126,0.957,0.478,0.244,0.229,1.283
Crematogaster.atkinsoni,worker,casent0922730,0.921,0.856,0.426,0.203,0.212,1.097
Crematogaster.atkinsoni,worker,casent0103770,0.95,0.941,0.103,0.207,0.21,0.985
Crematogaster.cerasi,worker,casent0103776,0.868,0.811,0.39,0.216,0.198,0.905
Crematogaster.cerasi,worker,casent0179856,0.897,0.854,0.428,0.222,0.215,1.002
Crematogaster.cerasi,worker,usnment00529078,0.843,0.766,0.368,0.195,0.188,0.962
Crematogaster.cerasi,worker,casent0922725,0.993,0.951,0.1295,0.213,0.219,1.141
Crematogaster.lineolata,worker,casent0104694,0.81,0.752,0.354,0.2,0.206,0.694
Crematogaster.lineolata,worker,casent0904536,,0.694,0.347,0.182,0.175,0.861
Crematogaster.lineolata,worker,casent0912717,0.802,0.754,0.398,0.2,0.208,0.907
Crematogaster.lineolata,worker,casent0103781,0.794,0.819,0.1,0.187,0.191,0.895
Crematogaster.minutissima,worker,casent0103789,0.492,0.533,0.271,0.144,0.122,0.627
Crematogaster.minutissima,worker,casent0914573,0.466,0.514,0.229,,0.144,0.536
Crematogaster.minutissima,worker,jtlc000006537,0.522,0.537,0.268,0.151,0.135,0.633
Crematogaster.minutissima,worker,fmnhins0000047839,0.47,0.52,0.066,0.138,0.136,0.598
Crematogaster.missouriensis,worker,casent0103795,0.52,0.522,0.282,0.166,0.154,0.652
Crematogaster.missouriensis,worker,casent0172944,0.527,0.524,0.273,0.152,0.154,0.661
Crematogaster.missouriensis,worker,casent0648379,0.534,0.556,0.278,0.161,0.158,0.662
Crematogaster.missouriensis,worker,casent0102833,0.4875,0.517,0.018,0.162,0.16,0.569
Crematogaster.obscurata,worker,casent0103800,0.465,0.465,0.229,0.131,0.138,0.591
Crematogaster.obscurata,worker,fmnhins0000088665,0.571,0.567,0.258,0.165,0.16,0.646
Crematogaster.obscurata,worker,inbiocri001280847,0.561,0.551,0.248,0.149,0.148,0.668
Crematogaster.obscurata,worker,casent0914637,0.6205,0.638,0.078,0.175,0.177,0.7895
Crematogaster.pilosa,worker,casent0193165,0.814,0.787,0.407,,0.211,1.008
Crematogaster.pilosa,worker,casent0914530,0.899,0.807,0.404,0.213,0.214,1.014
Crematogaster.pilosa,worker,casent0919707,0.736,0.67,0.342,0.183,0.15,0.806
Crematogaster.pilosa,worker,casent0103806,0.9365,0.862,0.1015,0.216,0.22,0.9965
Crematogaster.pinicola,worker,casent0105680,0.856,0.78,,,0.194,0.94
Crematogaster.pinicola,worker,casent0914531,0.877,0.781,0.372,,0.215,0.995
Crematogaster.pinicola,worker,casent0172943,0.831,0.764,0.106,0.159,0.165,0.825
Crematogaster.vermiculata,worker,casent0103810,0.726,0.698,0.318,0.194,0.192,0.907
Crematogaster.vermiculata,worker,casent0914534,0.893,0.817,0.411,0.228,0.187,0.878
