SPECIES,HW,HL,ML,EL,WL
Strumigenys emmae,0.406,0.464,0.158,NA,0.523
Strumigenys epinotalis,0.501,0.598,0.205,NA,0.777
Strumigenys filirrhina,NA,NA,NA,NA,NA
Strumigenys gundlachi,0.359,0.415,0.283,NA,0.576
Strumigenys hexamera,0.587,0.536,0.327,NA,0.718
Strumigenys hyalina,0.44,0.574,0.123,NA,0.667
Strumigenys laevinasis,0.399,0.556,0.244,NA,0.725
Strumigenys lanuginosa,0.482,0.507,0.35,NA,NA
Strumigenys louisianae,0.521,0.533,0.336,0.105,0.745
Strumigenys margaritae,0.405,0.578,0.234,0.127,0.685
Strumigenys membranifera,0.484,0.541,0.162,NA,0.61
Strumigenys memorialis,NA,NA,NA,NA,NA
Strumigenys metazytes,NA,NA,NA,NA,NA
Strumigenys missouriensis,NA,NA,NA,NA,NA
Strumigenys ornata,0.402,0.559,0.116,NA,0.619
Strumigenys pergandei,NA,NA,NA,NA,NA
Strumigenys pilinasis,0.394,0.554,0.167,NA,0.697
Strumigenys pulchella,0.4,0.563,0.135,NA,0.709
Strumigenys reflexa,NA,NA,NA,NA,NA
Strumigenys rogeri,0.475,0.576,0.349,0.094,0.651
Strumigenys rohweri,0.4,0.612,0.134,0.11,0.752
Strumigenys rostrata,0.458,0.673,NA,NA,0.77
Strumigenys silvestrii,NA,NA,NA,NA,NA
Strumigenys talpa,0.405,0.558,0.142,NA,0.74
Strumigenys wrayi,NA,NA,NA,NA,NA
Syllophopsis subcoeca,0.333,0.371,0.183,0.087,0.598
Tapinoma litorale,0.5,0.513,0.243,0.1575,0.808
Tapinoma melanocephalum,0.46,0.47,0.23,0.1625,0.891
Tapinoma sessile,1.05,1.027,0.46,0.239,1.34
Technomyrmex difficilis,1.107,1.128,0.582,0.4035,1.965
Temnothorax allardycei,0.726,0.775,0.324,0.2345,1.327
Temnothorax ambiguus,NA,NA,NA,NA,NA
Temnothorax americanus,NA,NA,NA,NA,NA
Temnothorax bradleyi,0.877,0.891,0.361,NA,1.505
Temnothorax curvispinosus,0.657,0.68,0.286,0.2635,1.134
Temnothorax duloticus,0.503,0.526,0.236,0.1835,0.944
Temnothorax longispinosus,0.708,0.741,0.313,0.2275,1.174
Temnothorax minutissimus,0.461,0.5,0.224,NA,0.737
Temnothorax palustris,0.777,0.849,0.393,0.2,1.258
