SPECIES,CASENT,HW,HL,ML,EL,WL
Pheidole moerens,casent0005743,0.425,0.479,0.1015,0.086,0.6445
Pheidole moerens,casent0005742,0.8745,0.896,0.256,0.125,0.738
Pheidole morrisii,casent0908229,0.622,0.723,0.42,0.1835,1.043
Pheidole morrisii,casent0908231,0.704,0.752,0.481,0.2,1.177
Pheidole morrisii,casent0917781,0.689,0.781,0.416,0.1765,1.062
Pheidole morrisii,casent0104416,0.549,0.665,0.1335,0.145,0.8375
Pheidole morrisii,casent0908228,1.095,1.146,0.582,NA,1.208
Pheidole morrisii,casent0908230,1.317,1.251,0.709,0.23,1.316
Pheidole morrisii,casent0917780,1.274,1.188,0.668,0.2315,1.208
Pheidole morrisii,casent0922217,1.264,1.244,0.643,0.226,1.313
Pheidole morrisii,casent0104415,1.143,1.215,0.229,0.1905,1.186
Pheidole navigans,CASENT0005742,0.896,0.944,0.449,0.1405,0.731
Pheidole navigans,CASENT0005743,0.433,0.48,0.247,0.111,0.657
Pheidole navigans,CASENT0104525,0.893,0.905,0.433,0.13,0.701
Pheidole navigans,CASENT0104526,0.452,0.494,0.252,NA,0.539
Pheidole obscurithorax,casent0104420,0.629,0.788,0.445,0.194,1.17
Pheidole obscurithorax,casent0913312,0.584,0.749,0.442,0.1765,1.148
Pheidole obscurithorax,casent0178042,0.5575,0.714,0.154,0.1495,1.0595
Pheidole obscurithorax,casent0104419,1.515,1.568,0.872,NA,1.726
Pheidole obscurithorax,casent0913311,1.747,1.772,0.973,0.255,1.517
Pheidole obscurithorax,casent0178041,1.604,1.645,0.386,0.196,1.5355
Pheidole pilifera,CASENT0005762,0.484,0.563,0.309,0.1365,0.684
Pheidole pilifera,CASENT0102866,1.237,1.333,0.566,0.197,1.133
Pheidole pilifera,CASENT0102867,0.528,0.582,0.347,0.1285,0.721
Pheidole pilifera,CASENT0103147,0.576,0.624,0.394,0.151,0.804
Pheidole pilifera,CASENT0103148,1.331,1.38,0.517,0.1825,1.178
Pheidole pilifera,CASENT0172958,1.199,1.126,0.573,0.179,0.98
Pheidole tetra,CASENT0103154,0.643,0.721,0.393,0.151,0.978
Pheidole tetra,CASENT0103153,1.283,1.161,0.611,0.187,1.179
Pheidole tetra,CASENT0103155,1.24,1.162,0.63,0.1835,1.112
Pheidole tysoni,casent0104454,0.414,0.478,0.257,0.099,0.602
Pheidole tysoni,casent0282942,0.454,0.478,0.293,0.0965,0.558
Pheidole tysoni,casent0908243,0.435,0.483,0.284,0.089,0.571
Pheidole tysoni,casent0104427,0.4135,0.456,0.0755,0.0845,0.561
Pheidole tysoni,casent0104426,0.879,0.97,0.423,0.1375,0.845
Pheidole tysoni,casent0104453,0.847,0.912,0.437,0.1335,0.833
Pheidole tysoni,casent0908242,0.959,1.108,0.486,0.1345,0.863
Pheidole tysoni,casent0282947,0.8895,0.958,0.1785,0.1115,0.8
Platythyrea punctata,casent0003323,1.045,1.293,0.667,0.312,2.401
Platythyrea punctata,casent0006088,1.033,1.379,0.58,0.337,2.284
Platythyrea punctata,casent0103910,1.044,1.374,0.638,0.3885,2.458
Platythyrea punctata,fmnhins0000088649,1.006,1.318,0.623,0.3335,2.407
Platythyrea punctata,casent0006819,1.0145,1.324,0.3705,0.2925,2.147
Pogonomyrmex badius,casent0103056,1.623,1.658,0.853,0.3255,2.307
Pogonomyrmex badius,casent0900375,1.35,1.283,0.759,0.271,1.713
Pogonomyrmex badius,casent0104423,1.5075,1.589,0.222,0.3165,1.984
Pogonomyrmex badius,casent0103057,3.248,2.752,1.357,0.492,3.042
Pogonomyrmex badius,casent0281110,3.397,2.799,1.644,0.542,3.301
Pogonomyrmex badius,casent0104424,3.189,2.68,0.4295,0.472,3.0035
Polyergus longicornis,CASENT0281044,1.448,1.678,0.96,0.3755,2.598
Polyergus longicornis,CASENT0281043,1.738,1.828,0.98,0.4645,2.867
Polyergus lucidus,CASENT0281037,1.627,1.703,0.884,0.4405,2.615
Polyergus lucidus,CASENT0281039,1.497,1.655,0.83,0.422,2.617
Polyergus lucidus,CASENT0281040,1.396,1.484,0.824,0.432,2.315
Polyergus lucidus,CASENT0281042,1.368,1.519,0.778,0.3885,2.433
Polyergus lucidus,CASENT0281066,1.503,1.572,0.833,0.427,2.583
Polyergus ruber,CASENT0281055,1.583,1.778,0.989,0.435,2.628
Polyergus ruber,CASENT0281056,1.66,1.737,0.948,0.422,2.641
Polyergus ruber,CASENT0281057,1.544,1.685,0.904,0.426,2.663
Ponera exotica,casent0104432,0.347,0.441,0.202,NA,0.633
Ponera exotica,casent0249231,0.464,0.591,0.29,NA,0.801
Ponera exotica,casent0603539,0.3945,0.526,0.16,0.0155,0.6675
Ponera pennsylvanica,antweb1038007,0.608,0.739,0.392,NA,1.047
Ponera pennsylvanica,casent0003322,0.576,0.72,0.342,NA,1.066
Ponera pennsylvanica,casent0103897,0.512,0.626,0.311,NA,0.949
Ponera pennsylvanica,casent0249230,0.588,0.724,0.356,NA,1.017
Ponera pennsylvanica,casent0006626,0.558,0.691,0.1415,0.032,1.006
Poneracantha triangularis,CASENT0006087,1.213,1.234,0.729,0.2485,1.949
Poneracantha triangularis,CASENT0103948,1.03,1.06,0.654,0.257,1.87
Poneracantha triangularis,CASENT0179951,1.198,1.171,0.877,0.2955,1.987
Poneracantha triangularis,CASENT0281234,1.236,1.257,0.864,0.3285,2.061
Poneracantha triangularis,LACMENT141836,1.714,1.709,1.21,0.281,1.952
Prenolepis imparis,casent0103873,0.894,0.934,0.449,0.2315,1.258
Prenolepis imparis,casent0106035,0.882,0.86,0.505,0.248,1.102
Prenolepis imparis,casent0179611,0.822,0.885,0.448,0.262,1.203
Prenolepis imparis,casent0905672,0.787,0.833,0.416,0.237,1.114
Prenolepis imparis,casent0102823,0.771,0.855,0.132,0.225,1.122
Prionopelta antillana,casent0103911,0.394,0.48,0.204,NA,0.602
Prionopelta antillana,casent0767588,0.374,0.456,0.208,NA,0.563
Prionopelta antillana,casent0767612,0.409,0.499,0.233,NA,0.567
Prionopelta antillana,casent0902630,0.455,0.528,0.252,0.0305,0.704
Prionopelta antillana,casent0006076,0.432,0.486,0.0775,0.031,0.6065
Proceratium chickasaw,casent0104435,0.72,0.839,0.1325,0.0165,1.111
Proceratium crassicorne,fmnhins0000057119,0.5735,0.656,0.153,0.0115,0.8295
Proceratium crassicorne,casent0104436,0.618,0.651,0.337,NA,0.834
Proceratium crassicorne,casent0903852,0.61,0.615,0.346,NA,0.87
Proceratium creek,casent0105837,0.998,1.196,0.635,0.045,2.016
Proceratium creek,casent0104439,0.8725,1.151,0.161,0.0265,1.6625
Proceratium croceum,casent0104442,0.8285,0.908,0.172,0.017,1.31
Proceratium pergandei,casent0903855,0.85,0.946,0.574,NA,1.391
Proceratium pergandei,casent0104443,0.756,0.894,0.1685,0.016,1.2345
Proceratium silaceum,casent0235164,0.469,0.502,0.246,NA,0.628
Proceratium silaceum,casent0903853,0.639,0.689,0.371,NA,0.8
Proceratium silaceum,focol0928,0.721,0.739,0.387,NA,0.982
Proceratium silaceum,psw7415-1,1.599,1.671,0.959,NA,0.914
Proceratium silaceum,casent0104234,0.6405,0.688,0.1755,0.033,0.8005
Pseudomyrmex cubaensis,casent0104073,0.667,0.966,0.34,0.479,1.287
Pseudomyrmex cubaensis,casent0173759,0.802,1.15,0.407,0.5775,1.466
Pseudomyrmex cubaensis,casent0907536,0.645,0.888,0.344,0.475,1.295
Pseudomyrmex cubaensis,fmnhins0000088650,0.637,0.917,0.313,0.4605,1.246
Pseudomyrmex cubaensis,casent0005871,0.666,1.01,0.0815,0.4995,1.3275
Pseudomyrmex ejectus,casent0102683,0.688,0.872,0.287,0.478,1.277
Pseudomyrmex ejectus,casent0104280,0.618,0.797,0.289,0.4295,1.119
Pseudomyrmex ejectus,casent0104314,0.653,0.839,0.278,0.4275,1.122
Pseudomyrmex ejectus,casent0902894,0.669,0.85,NA,0.4715,1.181
Pseudomyrmex ejectus,fmnhins0000088651,0.655,0.829,0.364,0.436,1.154
Pseudomyrmex ejectus,casent0102684,0.648,0.871,0.1145,0.463,1.127
Pseudomyrmex elongatus,casent0103868,0.581,0.855,0.288,0.4545,1.014
Pseudomyrmex elongatus,casent0173750,0.609,0.982,0.307,0.529,1.204
Pseudomyrmex elongatus,casent0907537,0.53,0.732,0.286,0.466,1.091
Pseudomyrmex elongatus,fmnhins0000078507,0.582,0.848,0.313,0.4715,1.191
Pseudomyrmex elongatus,casent0005874,0.546,0.785,0.0375,0.441,1.0015
Pseudomyrmex gracilis,casent0103874,1.347,1.573,0.614,0.98,2.587
Pseudomyrmex gracilis,casent0106097,1.567,1.851,0.815,1.0995,2.784
Pseudomyrmex gracilis,casent0907478,1.273,1.494,0.603,0.904,2.255
Pseudomyrmex gracilis,fmnhins0000078508,1.257,1.475,0.646,0.8745,2.281
Pseudomyrmex gracilis,casent0005838,1.3265,1.381,0.192,0.923,2.4095
Pseudomyrmex pallidus,casent0103890,0.711,0.909,0.328,0.456,1.189
Pseudomyrmex pallidus,casent0246350,0.666,0.866,0.307,0.4275,1.159
Pseudomyrmex pallidus,casent0902900,0.719,0.95,0.348,0.4545,1.348
Pseudomyrmex pallidus,fmnhins0000078509,0.676,0.888,0.365,0.472,1.252
Pseudomyrmex pallidus,casent0005441,0.642,0.85,0.145,0.403,1.1325
Pseudomyrmex seminole,casent0902898,0.803,1.016,0.354,0.5095,1.503
Pseudomyrmex seminole,fmnhins0000078510,1.169,1.082,0.437,0.5045,1.487
Pseudomyrmex seminole,casent0103884,0.8785,1.158,0.1135,0.4985,1.4625
Pseudomyrmex simplex,casent0104281,0.616,0.784,0.257,0.4315,1.151
Pseudomyrmex simplex,casent0902902,0.668,0.842,0.281,0.4565,1.265
Pseudomyrmex simplex,casent0907489,0.572,0.747,0.256,0.4025,1.055
Pseudomyrmex simplex,fmnhins0000078520,0.639,0.812,0.264,0.436,1.157
Pseudomyrmex simplex,MCZ_ENT_Pseudomyrmex_simplex,0.7185,0.97,0.081,NA,1.4595
Pseudoponera stigma,casent0104187,0.977,1.015,0.581,NA,1.481
Pseudoponera stigma,casent0171132,1.185,1.232,0.752,0.0875,1.884
Pseudoponera stigma,casent0249159,1.136,1.158,0.72,NA,1.825
Pseudoponera stigma,casent0907287,1.071,1.118,0.717,NA,1.817
Pseudoponera stigma,casent0178392,1.182,1.251,0.407,0.068,1.809
Solenopsis abdita,CASENT0104494,0.291,0.392,0.176,NA,0.435
Solenopsis abdita,CASENT0217364,0.238,0.319,NA,NA,0.399
Solenopsis abdita,CASENT0249866,0.294,0.378,0.162,0.0325,0.399
Solenopsis abdita,FMNHINS0000078522,0.301,0.396,0.148,NA,0.398
Solenopsis carolinensis,casent0104497,0.274,0.332,0.148,0.0325,0.372
Solenopsis carolinensis,casent0902335,0.331,0.401,0.207,0.044,0.427
Solenopsis carolinensis,casent0908858,0.329,0.401,0.186,NA,0.45
Solenopsis carolinensis,fmnhins0000078523,0.292,0.386,NA,0.032,0.372
Solenopsis carolinensis,casent0010696,0.3855,0.482,0.064,0.0475,0.5195
Solenopsis geminata,casent0104522,0.75,0.84,0.435,0.1435,1.103
Solenopsis geminata,casent0104933,1.015,1.083,0.581,0.1495,1.182
Solenopsis geminata,casent0913897,0.651,0.766,0.361,0.1525,1.052
Solenopsis geminata,casent0917011,0.62,0.682,0.332,0.1295,0.899
Solenopsis geminata,fmnhins0000078513,0.648,0.712,0.355,0.1455,0.886
Solenopsis geminata,casent0104934,0.6825,0.776,0.0885,0.1205,0.9305
Solenopsis geminata,casent0063125,1.257,1.282,0.691,0.184,1.462
Solenopsis geminata,casent0104521,1.684,1.547,0.66,0.1915,1.627
Solenopsis geminata,casent0178424,1.042,1.156,0.501,0.176,1.421
Solenopsis geminata,casent0908794,1.732,1.574,0.72,NA,1.399
Solenopsis geminata,casent0102966,1.167,1.209,0.2225,0.1565,1.4205
Solenopsis globularia,casent0104501,0.446,0.573,0.241,0.0935,0.76
Solenopsis globularia,casent0104814,0.387,0.497,0.211,NA,0.659
Solenopsis globularia,casent0908833,0.375,0.457,0.209,0.0685,0.533
Solenopsis globularia,fmnhins0000078524,0.438,0.519,0.206,0.0765,0.606
Solenopsis globularia,casent0173279,0.473,0.585,0.062,0.096,0.7785
Solenopsis invicta,casent0005804,1.352,1.367,0.65,0.2465,1.708
Solenopsis invicta,casent0104523,1.1,1.184,0.588,0.1985,1.565
Solenopsis invicta,casent0178134,1.169,1.194,0.562,0.207,1.611
Solenopsis invicta,casent0902350,1.374,1.359,0.782,0.295,1.982
Solenopsis invicta,casent0913949,1.344,1.334,0.733,0.222,1.83
Solenopsis invicta,casent0178135,0.889,1.031,0.0885,0.155,1.388
Solenopsis molesta,CASENT0005805,0.389,0.477,0.196,NA,0.527
Solenopsis molesta,CASENT0005809,0.375,0.457,0.215,0.04,0.504
Solenopsis molesta,CASENT0005936,0.356,0.453,0.202,NA,0.468
Solenopsis molesta,CASENT0106027,0.412,0.51,0.241,0.043,0.561
Solenopsis molesta,CASENT0882124,0.407,0.45,0.246,NA,0.542
Solenopsis nickersoni,CASENT0104505,0.293,0.404,0.17,0.048,0.418
Solenopsis pergandei,casent0103157,0.454,0.497,0.274,NA,0.556
Solenopsis pergandei,casent0105855,0.5,0.547,0.294,NA,0.665
Solenopsis pergandei,fmnhins0000049898,0.476,0.525,0.292,NA,0.609
Solenopsis pergandei,fmnhins0000078525,0.376,0.446,0.221,0.033,0.483
Solenopsis pergandei,CASENT0104506,0.33,0.406,0.196,0.034,0.51
Solenopsis picta,casent0105664,0.324,0.368,0.188,0.0415,0.432
Solenopsis picta,casent0904629,0.345,0.378,0.17,NA,0.47
Solenopsis picta,casent0104509,0.3925,0.467,0.054,0.0445,0.56
Solenopsis richteri,CASENT0103101,1.187,1.288,0.634,0.184,1.62
Solenopsis richteri,CASENT0171080,0.734,0.854,0.435,0.1685,1.209
Solenopsis richteri,CASENT0171123,1.441,1.369,0.745,0.2525,1.816
Solenopsis richteri,CASENT0908801,1.302,1.363,0.705,0.208,1.452
Solenopsis richteri,CASENT0908802,1.181,1.205,0.653,0.199,1.414
Solenopsis tennesseensis,casent0104524,0.26,0.353,0.156,NA,0.382
Solenopsis tennesseensis,CASENT0911149,0.305,0.404,0.169,0.021,0.429
Solenopsis texana,CASENT0104813,0.345,0.432,0.197,0.037,0.429
Solenopsis texana,CASENT0904625,0.324,0.399,0.181,NA,0.438
Solenopsis texana,CASENT0908855,0.58,0.641,0.385,0.1115,0.757
Solenopsis tonsa,CASENT0104512,0.329,0.393,0.208,NA,0.505
Solenopsis tonsa,CASENT0923591,0.322,0.402,0.19,NA,0.488
Solenopsis xyloni,CASENT0005806,1.152,1.215,0.595,0.207,1.467
Solenopsis xyloni,CASENT0102900,1.072,1.129,0.52,0.195,1.297
Solenopsis xyloni,CASENT0103388,0.613,0.72,0.386,0.152,1.044
Solenopsis xyloni,CASENT0104539,0.593,0.667,0.338,0.121,0.859
Solenopsis xyloni,CASENT0106041,1.179,1.205,0.615,0.222,1.499
Solenopsis xyloni,CASENT0646942,0.86,0.982,0.481,NA,1.19
Stenamma meridionale,FMNHINS0000062754,0.87,0.998,0.562,0.156,1.203
Stenamma meridionale,JTLC000006624,0.846,0.923,0.54,0.1565,1.24
Stenamma meridionale,CASENT0105569,0.79,0.938,0.494,0.1415,1.232
Stenamma brevicorne,CASENT0104792,0.772,0.899,0.466,NA,1.163
Stenamma brevicorne,CASENT0900948,0.757,0.894,0.485,0.133,1.269
Stenamma brevicorne,CASENT0923375,0.657,0.768,0.398,NA,0.98
Stenamma diecki,CASENT0005811,0.712,0.842,0.411,0.085,1.001
Stenamma diecki,CASENT0761109,0.793,0.909,0.389,0.109,1.17
Stenamma diecki,CASENT0844140,0.686,0.839,0.364,0.079,1.007
Stenamma diecki,CASENT0904153,0.627,0.773,0.385,NA,1.069
Stenamma foveolocephalum,casent0105665,0.907,0.951,0.563,0.155,1.321
Stenamma foveolocephalum,casent0104515,0.9795,1.156,0.2755,0.1955,1.245
Stenamma impar,casent0907679,0.608,0.697,0.377,NA,0.954
Stenamma impar,casent0923373,0.517,0.622,0.318,0.071,0.762
Stenamma impar,casent0104795,0.6015,0.71,0.178,0.05,0.8255
Stenamma schmittii,CASENT0104796,0.753,0.908,0.425,0.085,1.139
Stigmatomma pallipes,casent0102903,1.039,1.154,0.895,NA,1.711
Stigmatomma pallipes,casent0103551,0.965,1.035,0.83,0.0485,1.577
Stigmatomma pallipes,casent0104569,1.226,1.293,NA,0.5435,1.929
Stigmatomma pallipes,fmnhins0000045022,1.048,1.139,0.864,NA,1.559
Stigmatomma pallipes,casent0005434,1.168,1.17,0.543,0.041,1.7595
Strumigenys abdita,casent0104279,0.415,0.564,0.105,0.0255,0.61
Strumigenys angulata,casent0105657,0.444,0.505,0.187,NA,0.61
Strumigenys angulata,casent0103891,0.44,0.596,0.175,0.028,0.61
Strumigenys apalachicolensis,CASENT0103886,0.35,0.533,0.087,NA,0.5
Strumigenys archboldi,casent0104339,0.371,0.523,0.162,NA,0.524
Strumigenys archboldi,casent0914679,0.392,0.548,0.172,NA,0.569
Strumigenys archboldi,casent0900175,0.37,0.544,0.095,0.036,0.51
Strumigenys bimarginata,,0.359,0.549,0.167,0.047,0.541
Strumigenys boltoni,casent0172983,0.334,0.514,0.098,NA,0.444
Strumigenys boltoni,casent0172984,0.338,0.505,0.122,NA,0.52
Strumigenys brevisetosa,casent0104482,0.37,0.534,0.164,0.0515,0.648
Strumigenys bunki,casent0900165,0.379,0.525,0.128,NA,0.554
Strumigenys bunki,casent0104336,0.38,0.542,0.1,0.0365,0.525
Strumigenys carolinensis,casent0104341,0.4,0.51,0.13,0.0235,0.56
Strumigenys cloydi,casent0104334,0.372,0.548,0.137,NA,0.565
Strumigenys cloydi,casent0747001,0.387,0.577,0.167,NA,0.691
Strumigenys cloydi,casent0747017,0.389,0.534,0.152,NA,0.622
Strumigenys cloydi,casent0900173,0.37,0.542,0.135,NA,0.548
Strumigenys clypeata,focol2174,0.411,0.565,0.16,NA,0.63
Strumigenys clypeata,casent0103000,0.4,0.493,0.095,0.044,0.575
Strumigenys creightoni,casent0102540,0.369,0.547,0.131,0.0445,0.622
Strumigenys creightoni,casent0281181,0.366,0.527,0.137,NA,0.571
Strumigenys creightoni,casent0900170,0.388,0.543,0.137,NA,0.596
Strumigenys creightoni,casent0104332,0.385,0.505,0.105,0.0435,0.56
Strumigenys dietrichi,casent0104200,0.314,0.472,0.169,NA,0.535
Strumigenys dietrichi,fmnhins0000078521,0.353,0.503,0.148,NA,0.539
Strumigenys dietrichi,casent0103821,0.37,0.566,0.08,0.0475,0.555
Strumigenys eggersi,casent0178118,0.368,0.437,0.285,NA,0.413
Strumigenys eggersi,casent0625429,0.362,0.404,0.272,NA,0.451
Strumigenys eggersi,casent0904936,0.371,0.403,0.313,NA,0.481
Strumigenys eggersi,fmnhins0000078511,0.353,0.399,0.267,NA,0.452
Strumigenys eggersi,casent0103845,0.345,0.488,0.255,0.0295,0.43
Strumigenys emmae,casent0060342,0.357,0.412,0.129,NA,0.403
Strumigenys emmae,casent0102082,0.348,0.401,0.135,NA,0.423
Strumigenys emmae,casent0104133,0.319,0.372,0.119,NA,0.451
Strumigenys emmae,fmnhins0000078526,0.352,0.396,0.144,NA,0.446
Strumigenys emmae,casent0005894,0.36,0.408,0.135,0.022,0.44
Strumigenys epinotalis,casent0900217,0.414,0.492,0.17,0.075,0.54
Strumigenys filirrhina,,0.388,0.548,0.171,,0.558
Strumigenys gundlachi,casent0106238,0.379,0.435,0.303,NA,0.495
Strumigenys gundlachi,casent0900176,0.396,0.481,0.35,NA,0.519
Strumigenys gundlachi,casent0912854,0.364,0.397,0.298,NA,0.444
Strumigenys gundlachi,casent0915948,0.387,0.447,0.322,NA,0.485
Strumigenys gundlachi,casent0103867,0.38,0.414,0.3,0.033,0.475
Strumigenys hexamera,casent0100720,0.564,0.492,0.292,NA,0.616
Strumigenys hexamera,casent0103819,0.54,0.443,0.2,0.0235,0.585
Strumigenys hyalina,CASENT0103126,0.403,0.533,0.119,NA,0.57
Strumigenys hyalina,CASENT0900166,0.37,0.472,0.117,NA,0.55
Strumigenys laevinasis,casent0104198,0.332,0.457,0.152,0.032,0.584
Strumigenys laevinasis,casent0104472,0.44,0.552,0.115,0.036,0.65
Strumigenys lanuginosa,antweb1032495,0.455,0.515,0.344,0.061,0.611
Strumigenys lanuginosa,casent0105875,0.47,0.509,0.368,0.0645,0.717
Strumigenys lanuginosa,casent0178644,0.457,0.511,0.369,NA,0.68
Strumigenys lanuginosa,casent0914741,0.448,0.498,0.351,NA,0.707
Strumigenys lanuginosa,casent0104517,0.46,0.551,0.35,0.0555,0.61
Strumigenys louisianae,antweb1032160,0.461,0.561,0.427,NA,0.607
Strumigenys louisianae,casent0003321,0.431,0.435,0.271,0.0605,0.545
Strumigenys louisianae,casent0104527,0.472,0.502,0.308,0.066,0.605
Strumigenys louisianae,casent0914505,0.494,0.507,0.313,0.0745,0.64
Strumigenys louisianae,antweb1038235,0.46,0.424,0.355,0.044,0.595
Strumigenys margaritae,casent0900216,0.39,0.506,0.141,NA,0.553
Strumigenys margaritae,casent0909341,0.342,0.453,0.126,0.0605,0.609
Strumigenys margaritae,casent0914601,0.451,0.586,0.163,0.0835,0.54
Strumigenys margaritae,casent0104473,0.39,0.573,0.11,0.066,0.52
Strumigenys schmittii,,0.749,0.929,0.424,0.0935,1.19
Strumigenys memorialis,CASENT0900167,0.366,0.489,0.14,0.029,0.51
Strumigenys membranifera,casent0023769,0.39,0.424,0.123,NA,0.493
Strumigenys membranifera,casent0104518,0.413,0.441,0.133,NA,0.538
Strumigenys membranifera,casent0171134,0.393,0.432,0.12,NA,0.506
Strumigenys membranifera,casent0173252,0.415,0.447,0.136,NA,0.537
Strumigenys membranifera,casent0133285,0.42,0.443,0.09,0.02,0.515
Strumigenys metazytes,CASENT0900169,0.357,0.466,0.102,0.027,0.499
Strumigenys missouriensis,casent0104475,0.369,0.522,0.117,NA,0.518
Strumigenys missouriensis,casent0104893,0.4,0.505,0.09,0.0355,0.57
Strumigenys ornata,casent0900174,0.369,0.518,0.128,NA,0.547
Strumigenys ornata,casent0915951,0.347,0.494,0.109,NA,0.549
Strumigenys ornata,casent0104478,0.365,0.496,0.07,0.0305,0.54
Strumigenys pergandei,ANTWEB1041767,0.374,0.502,0.134,0.034,0.505
Strumigenys pergandei,CASENT0104882,0.388,0.508,0.165,NA,0.541
Strumigenys pergandei,CASENT0904956,0.5,0.675,0.22,0.054,0.731
Strumigenys pilinasis,casent0104477,0.414,0.562,0.181,NA,0.681
Strumigenys pilinasis,casent0105668,0.42,0.553,0.19,NA,0.66
Strumigenys pilinasis,casent0909339,0.402,0.544,0.175,NA,0.6
Strumigenys pilinasis,CASENT0104477,0.445,NA,0.14,0.047,0.62
Strumigenys pulchella,casent0104483,0.365,0.526,0.085,0.035,0.56
Strumigenys reflexa,casent0900168,0.403,0.527,0.166,NA,0.564
Strumigenys reflexa,casent0104485,0.4,0.523,0.08,0.03,0.54
Strumigenys rogeri,casent0060341,0.413,0.497,0.308,0.058,0.608
Strumigenys rogeri,casent0102080,0.455,0.535,0.366,0.057,0.589
Strumigenys rogeri,casent0104529,0.419,0.501,0.304,0.0535,0.577
Strumigenys rogeri,casent0914774,0.447,0.52,0.319,0.0535,0.564
Strumigenys rogeri,casent0005897,0.47,0.525,0.35,0.0485,0.62
Strumigenys rohweri,CASENT0105662,0.375,0.5,0.134,NA,0.591
Strumigenys rohweri,CASENT0900172,0.373,0.573,0.14,NA,0.672
Strumigenys rostrata,casent0900164,0.48,0.699,0.192,NA,0.746
Strumigenys rostrata,casent0904955,0.487,0.686,0.176,NA,0.77
Strumigenys rostrata,focol2172,0.452,0.664,0.159,NA,0.702
Strumigenys rostrata,casent0104486,0.445,0.619,0.12,0.048,0.65
Strumigenys silvestrii,casent0104531,0.356,0.409,0.263,NA,0.471
Strumigenys silvestrii,casent0900476,0.349,0.421,0.25,NA,0.507
Strumigenys silvestrii,casent0904937,0.371,0.425,0.271,NA,0.497
Strumigenys silvestrii,fmnhins0000078527,0.342,0.4,0.251,NA,0.468
Strumigenys silvestrii,casent0178128,0.35,0.385,0.24,0.026,0.43
Strumigenys talpa,casent0102557,0.387,0.576,0.132,NA,0.581
Strumigenys talpa,casent0103123,0.405,0.589,0.134,NA,0.584
Strumigenys talpa,casent0900171,0.326,0.477,0.119,NA,0.557
Strumigenys talpa,casent0104490,0.375,0.543,0.095,0.038,0.545
Strumigenys talpa,casent0103172,0.33,0.5,0.09,0.033,0.48
Strumigenys wrayi,casent0104491,0.375,0.571,0.08,NA,0.53
Syllophopsis subcoeca,CASENT0904581,0.316,0.374,0.187,0.0225,0.4
Syllophopsis subcoeca,CASENT0923382,0.268,0.323,0.153,0.017,0.385
Syllophopsis subcoeca,CASENT0923383,0.253,0.323,0.142,0.017,0.355
Tapinoma litorale,casent0104532,0.457,0.496,0.216,0.0995,0.436
Tapinoma litorale,casent0249762,0.46,0.479,0.216,0.115,0.564
Tapinoma litorale,fmnhins0000078515,0.475,0.498,0.249,0.1175,0.585
Tapinoma litorale,casent0249763,0.51,0.524,0.134,0.0935,0.615
Tapinoma melanocephalum,casent0005325,0.404,0.457,0.191,0.1155,0.496
Tapinoma melanocephalum,casent0008659,0.378,0.446,0.171,0.1115,0.541
Tapinoma melanocephalum,casent0171078,0.401,0.461,0.224,0.109,0.565
Tapinoma melanocephalum,fmnhins0000078516,0.411,0.482,0.226,0.1195,0.536
Tapinoma melanocephalum,casent0104536,0.43,0.498,0.0825,0.1235,0.541
Tapinoma sessile,casent0104535,0.715,0.737,0.315,0.203,0.959
Tapinoma sessile,casent0172857,0.544,0.612,0.305,0.1455,0.761
Tapinoma sessile,casent0923117,0.508,0.604,0.257,0.159,0.72
Tapinoma sessile,jtlc000014295,0.848,0.809,0.382,0.1915,0.977
Tapinoma sessile,casent0005329,0.6805,0.746,0.143,0.189,0.924
Technomyrmex difficilis,casent0003175,0.604,0.624,0.274,0.1485,0.746
Technomyrmex difficilis,casent0003318,0.533,0.572,0.238,0.159,0.818
Technomyrmex difficilis,casent0101079,0.554,0.579,0.29,0.15,0.767
Technomyrmex difficilis,fmnhins0000078517,0.565,0.6,0.251,0.1625,0.857
Technomyrmex difficilis,casent0171131,0.7475,0.8,0.162,0.197,0.691
Temnothorax ambiguus,CASENT0000392,0.587,0.672,0.296,0.146,0.742
Temnothorax ambiguus,CASENT0104803,0.526,0.614,0.26,0.1435,0.748
Temnothorax ambiguus,CASENT0915985,0.466,0.54,0.234,0.122,0.662
Temnothorax americanus,CASENT0003235,0.664,0.807,0.274,0.1495,0.879
Temnothorax americanus,CASENT0006099,0.66,0.831,0.256,0.18,0.854
Temnothorax americanus,CASENT0104553,0.663,0.821,0.277,0.17,0.883
Temnothorax americanus,CASENT0105656,0.753,0.822,0.312,0.1815,0.982
Temnothorax allardycei,casent0105614,0.435,0.49,0.198,0.1585,0.931
Temnothorax allardycei,fmnhins0000088652,0.634,0.714,0.277,0.186,0.857
Temnothorax allardycei,casent0104009,0.656,0.736,0.103,0.1725,0.851
Temnothorax bradleyi,casent0105869,0.811,0.823,0.425,0.1515,1.009
Temnothorax bradleyi,casent0104011,0.6515,0.751,0.096,0.121,0.968
Temnothorax curvispinosus,casent0003234,0.437,0.519,0.224,0.1305,0.612
Temnothorax curvispinosus,casent0104040,0.539,0.636,0.265,NA,0.764
Temnothorax curvispinosus,casent0901789,0.519,0.557,0.284,0.157,0.753
Temnothorax curvispinosus,casent0919744,0.402,0.464,0.19,0.124,0.566
Temnothorax curvispinosus,casent0104032,0.487,0.564,0.0855,0.122,0.7005
