SPECIES,CASENT,HW,HL,ML,EL,WL
Camponotus planatus,casent0280090,2.309,2.101,0.791,0.5715,2.708
Camponotus planatus,casent0246647,1.814,1.732,0.1655,0.4375,2.012
Camponotus sansabeanus,CASENT0005350,3.377,2.91,1.235,NA,3.526
Camponotus sansabeanus,CASENT0102780,1.126,1.406,0.616,0.411,2.102
Camponotus sansabeanus,CASENT0280033,3.111,2.958,1.289,0.602,3.504
Camponotus sansabeanus,CASENT0280034,1.674,1.882,0.752,0.5015,2.594
Camponotus sansabeanus,CASENT0840931,2.068,2.486,0.961,0.55,4.027
Camponotus sansabeanus,CASENT0882211,3.183,2.973,1.241,0.632,3.674
Camponotus sexguttatus,casent0103710,0.919,1.252,0.427,0.364,1.821
Camponotus sexguttatus,casent0249404,0.743,1.007,0.382,0.296,1.583
Camponotus sexguttatus,casent0903635,0.852,1.219,0.496,0.359,1.847
Camponotus sexguttatus,casent0249405,0.832,1.183,0.124,0.3415,1.8705
Camponotus sexguttatus,casent0103709,1.467,1.562,0.564,0.4345,1.948
Camponotus sexguttatus,casent0173451,1.611,1.616,0.586,0.4725,2.23
Camponotus sexguttatus,casent0903629,1.395,1.493,0.538,0.446,2.258
Camponotus sexguttatus,casent0246661,1.358,1.541,0.176,0.4035,1.997
Camponotus snellingi,casent0103732,1.2095,1.428,0.233,0.3165,2.1385
Camponotus snellingi,casent0103730,1.703,1.767,0.3405,0.3565,2.771
Camponotus socius,casent0105678,1.941,1.959,1.127,0.5305,3.708
Camponotus socius,casent0103712,1.5845,2.204,0.286,0.503,3.806
Camponotus socius,casent0103711,3.051,3.271,0.5195,0.6235,4.4175
Camponotus subbarbatus,CASENT0103352,1.89,1.853,0.642,0.4355,2.361
Camponotus subbarbatus,CASENT0103353,1.874,1.856,0.623,0.4275,2.833
Camponotus subbarbatus,CASENT0105679,1.019,1.173,0.425,0.3195,1.673
Camponotus subbarbatus,CASENT0905405,1.481,1.57,0.531,0.3755,2.136
Cardiocondyla emeryi,casent0103733,0.372,0.479,0.207,0.112,0.507
Cardiocondyla emeryi,casent0171087,0.468,0.591,0.287,0.131,0.531
Cardiocondyla emeryi,casent0235428,0.276,0.349,0.146,0.0855,0.397
Cardiocondyla emeryi,casent0906359,0.363,0.464,0.191,0.1045,0.509
Cardiocondyla emeryi,casent0908342,0.37,0.458,0.199,0.109,0.524
Cardiocondyla emeryi,casent0005964,0.34,0.451,0.0345,0.087,0.52
Cardiocondyla mauritanica,casent0103167,0.418,0.523,0.25,0.1255,0.699
Cardiocondyla mauritanica,casent0172607,0.45,0.564,0.268,0.1275,0.65
Cardiocondyla mauritanica,casent0901755,0.438,0.552,0.243,0.1175,0.604
Cardiocondyla mauritanica,casent0908345,0.45,0.52,0.275,NA,0.736
Cardiocondyla mauritanica,casent0005678,0.47,0.584,0.1115,0.1245,0.69
Cardiocondyla minutior,casent0102306,0.338,0.436,0.183,0.0945,0.499
Cardiocondyla minutior,casent0103436,0.367,0.464,0.21,NA,0.555
Cardiocondyla minutior,casent0196173,0.371,0.458,0.197,NA,0.551
Cardiocondyla minutior,casent0171077,0.3355,0.443,0.052,0.089,0.508
Cardiocondyla nuda,CASENT0178361,0.375,0.486,0.171,0.113,0.615
Cardiocondyla nuda,CASENT0181806,0.405,0.533,0.234,0.1245,0.62
Cardiocondyla nuda,CASENT0919732,0.303,0.391,0.189,0.0855,0.502
Cardiocondyla nuda,FMNHINS0000051550,0.435,0.538,0.221,NA,0.676
Cardiocondyla obscurior,casent0103429,0.359,0.41,0.189,0.1025,0.52
Cardiocondyla obscurior,casent0103752,0.35,0.447,0.206,0.106,0.567
Cardiocondyla obscurior,casent0171038,0.387,0.456,0.201,0.106,0.548
Cardiocondyla obscurior,casent0901754,0.428,0.478,0.212,0.118,0.637
Cardiocondyla obscurior,casent0103430,0.3445,0.415,0.054,0.086,0.5105
Cardiocondyla venustula,antweb1041254,0.447,0.563,0.25,0.125,0.722
Cardiocondyla venustula,casent0119699,0.493,0.596,0.274,0.134,0.75
Cardiocondyla venustula,focol1607,0.42,0.518,0.225,0.115,0.617
Cardiocondyla venustula,casent0103747,0.4345,0.564,0.068,0.1115,0.658
Cardiocondyla wroughtonii,antweb1041255,0.356,0.435,0.182,NA,0.578
Cardiocondyla wroughtonii,casent0060052,0.381,0.47,0.203,0.1005,0.452
Cardiocondyla wroughtonii,casent0171166,0.53,0.655,0.27,0.1335,0.549
Cardiocondyla wroughtonii,casent0901753,0.403,0.479,0.205,0.114,0.574
Cardiocondyla wroughtonii,casent0102969,0.341,0.426,0.049,0.094,0.4645
Cephalotes varians,casent0103755,1.17,1.094,0.164,0.2375,1.173
Cephalotes varians,casent0922527,1.259,1.179,NA,0.2555,1.3
Cephalotes varians,casent0103759,1.082,1.062,0.133,0.187,1.0545
Cephalotes varians,casent0922526,1.607,1.941,0.196,NA,1.633
Cephalotes varians,casent0103758,1.6735,2.124,0.315,0.3025,1.638
Colobopsis impressa,casent0103679,0.835,0.945,0.311,0.2415,1.153
Colobopsis impressa,casent0249380,0.788,0.882,0.275,0.2625,1.169
Colobopsis impressa,fmnhins0000088668,0.809,0.899,0.27,0.26,1.189
Colobopsis impressa,casent0249381,1.1,1.228,0.39,0.3325,1.497
Colobopsis impressa,fmnhins0000088681,1.041,1.122,0.389,0.317,1.376
Colobopsis impressa,casent0103678,1.0695,1.086,0.0805,0.269,1.3815
Colobopsis mississippiensis,CASENT0103236,0.718,0.821,0.254,0.2305,1.176
Colobopsis mississippiensis,CASENT0103355,0.658,0.801,0.24,0.2035,0.949
